"","","occ","ranges","mean_env","mean_cov","sum_cov"
"1","AH_farmland_Scaff0044094_1","19","0.480190027","0.589082031157895","0.430959705157895","8.188234398"
"2","AH_farmland_Scaff0057056_1","17","0.507724881","0.537613130411765","0.734010999882353","12.478186998"
"3","AH_farmland_Scaff0168816_3","36","0.732902831","0.606861205388889","1.07235253936111","38.604691417"
"4","AH_farmland_Scaff0463125_1","10","0.297645039","0.6279237432","0.6248951195","6.248951195"
"5","AH_farmland_Scaff0599108_1","10","0.435555143","0.6214601628","0.4716553877","4.716553877"
"6","AH_farmland_Scaff0753550_1","16","0.321341182","0.5814009274375","0.822480527","13.159688432"
"7","AH_farmland_Scaff1097357_1","21","0.753584375","0.595033581714286","0.418276878952381","8.783814458"
"8","AH_farmland_Scaff1262021_1","11","0.466566135","0.601403788181818","0.515920372272727","5.675124095"
"9","AH_farmland_Scaff1348471_4","64","0.880975174","0.543872812453125","0.736388864546875","47.128887331"
"10","AH_farmland_Scaff1369365_1","14","0.410857376","0.625950584857143","2.82297187421429","39.521606239"
"11","AH_farmland_Scaff1661800_3","38","0.771488619","0.56863651131579","2.80330928610526","106.525752872"
"12","AH_farmland_Scaff1750778_1","22","0.377018844","0.601809316272727","0.968587707727273","21.30892957"
"13","AH_farmland_Scaff2018040_7","34","0.397312554","0.613872165382353","1.00269241179412","34.091542001"
"14","AH_farmland_Scaff2216653_3","20","0.396823066","0.5967772957","0.86772264105","17.354452821"
"15","AH_farmland_Scaff2220397_7","17","0.434103523","0.632531677294118","0.628873415235294","10.690848059"
"16","AH_farmland_Scaff2719913_1","8","0.430231407","0.59147010575","0.86072954375","6.88583635"
"17","AH_farmland_Scaff2895168_3","7","0.296692572","0.678444145571429","1.28888857571429","9.02222003"
"18","AH_farmland_Scaff2997756_1","23","0.677073211","0.573274651608696","0.362913733347826","8.347015867"
"19","AH_farmland_Scaff3277064_1","15","0.486891379","0.605233620133333","0.585061603333333","8.77592405"
"20","AH_farmland_Scaff3348622_1","15","0.37597807","0.591974612866667","0.540312827266667","8.104692409"
"21","AH_farmland_Scaff3541529_1","6","0.466592867","0.532357551833333","0.513330494833333","3.079982969"
"22","AH_farmland_Scaff3877726_1","19","0.507724881","0.535732204842105","0.568443426052632","10.800425095"
"23","AH_farmland_Scaff4036775_1","18","0.587494386","0.663457514111111","0.547820316277778","9.860765693"
"24","AH_farmland_Scaff4234554_3","26","0.567200676","0.596149653807692","0.612623957269231","15.928222889"
"25","AH_farmland_Scaff4531145_1","3","0.074772574","0.704556331666667","0.505932859666667","1.517798579"
"26","AH_farmland_Scaff4641104_1","5","0.348981275","0.614796408","0.8461413106","4.230706553"
"27","AH_farmland_Scaff5646918_1","19","0.633884878","0.641933970684211","0.471229040789474","8.953351775"
"28","AH_forest_Scaff0069053_1","3","0.169292234","0.564949383","1.084997903","3.254993709"
"29","AH_forest_Scaff0142244_1","15","0.299282829","0.528002890666667","1.85875408093333","27.881311214"
"30","AH_forest_Scaff0626527_1","7","0.369153424","0.579348835857143","0.543661399857143","3.805629799"
"31","AH_forest_Scaff0891352_1","4","0.277904639","0.6254617835","0.4299533865","1.719813546"
"32","AH_forest_Scaff0893543_2","18","0.294076025","0.521376978944444","0.948624055111111","17.075232992"
"33","AH_forest_Scaff1076944_1","1","0","0.585470523","2.860391282","2.860391282"
"34","AH_forest_Scaff1122296_1","2","0.0538644069999999","0.6124027265","0.9458167755","1.891633551"
"35","AH_forest_Scaff1175154_2","7","0.221154304","0.545619854428571","0.92459993","6.47219951"
"36","AH_forest_Scaff1518284_2","11","0.369076595","0.528612442272727","0.549250784727273","6.041758632"
"37","AH_forest_Scaff1834082_1","8","0.139766409","0.579282185125","0.37530956575","3.002476526"
"38","AH_forest_Scaff2086671_1","1","0","0.63933493","2.16326307","2.16326307"
"39","AH_forest_Scaff2983278_1","1","0","0.585470523","2.420825329","2.420825329"
"40","AH_forest_Scaff3178487_3","3","0.144771038","0.573123115","1.44558856633333","4.336765699"
"41","AH_forest_Scaff3212625_2","7","0.169292234","0.547344933714286","0.632088966714286","4.424622767"
"42","AH_forest_Scaff3272109_1","2","0.085902002","0.542519522","1.233127586","2.466255172"
"43","AH_forest_Scaff3395628_1","4","0.139766409","0.56199085175","0.59764720075","2.390588803"
"44","AH_forest_Scaff3481422_1","2","0.209560175","0.6043486085","1.763566866","3.527133732"
"45","AH_forest_Scaff3588712_1","3","0.139766409","0.574791324666667","0.810889391666667","2.432668175"
"46","AH_forest_Scaff3600027_3","22","0.299282829","0.525595682772727","1.11792509218182","24.594352028"
"47","AH_forest_Scaff3703688_1","4","0.392919305","0.49269739975","0.60806426925","2.432257077"
"48","AH_forest_Scaff3805916_3","8","0.252200515","0.5508053135","0.6604304935","5.283443948"
"49","AH_forest_Scaff3853781_1","3","0.239954088","0.476851826333333","1.13782572566667","3.413477177"
"50","AH_forest_Scaff4002289_1","24","0.410317493","0.485327739333333","0.373551545208333","8.965237085"
"51","AH_forest_Scaff4075752_1","4","0.087180864","0.562362231","0.8441727335","3.376690934"
"52","AH_forest_Scaff4234037_3","16","0.418429831","0.5199845821875","1.3012891409375","20.820626255"
"53","AH_forest_Scaff4244311_1","2","0.085902002","0.542519522","2.0388660025","4.077732005"
"54","AH_forest_Scaff4255227_1","6","0.240374138","0.524919313833333","0.684154226166667","4.104925357"
"55","AH_forest_Scaff4281218_1","1","0","0.63933493","2.649585028","2.649585028"
"56","AH_forest_Scaff4546773_2","12","0.260155039","0.478726507","0.898804576583333","10.785654919"
"57","AH_forest_Scaff4696244_1","3","0.139766409","0.574791324666667","0.564752393666667","1.694257181"
"58","AH_forest_Scaff4809164_1","7","0.414088405","0.547289603142857","0.719984521857143","5.039891653"
"59","AH_forest_Scaff4952658_1","9","0.215328343","0.507984538888889","0.652189457888889","5.869705121"
"60","AH_forest_Scaff5002689_1","20","0.463243873","0.5688049788","0.8492898134","16.985796268"
"61","AH_forest_Scaff5449646_1","4","0.339054898","0.45037434125","0.80444734675","3.217789387"
"62","AH_forest_Scaff5559826_1","20","0.395688787","0.4826333217","0.4593105694","9.186211388"
"63","AH_forest_Scaff5585928_1","11","0.435257034","0.433508192818182","0.651338379272727","7.164722172"
"64","AH_forest_Scaff5607251_1","7","0.28545193","0.466872762857143","0.448892028142857","3.142244197"
"65","AH_forest_Scaff5807308_90","4","0.186509731","0.47104635775","2.77300622975","11.092024919"
"66","AH_forest_Scaff5962024_2","7","0.299282829","0.527322118857143","0.762316388142857","5.336214717"
"67","AH_forest_Scaff6059584_1","9","0.355245696","0.502293644444444","0.572869258555556","5.155823327"
"68","AH_forest_Scaff6215824_1","4","0.107717705","0.58352079325","1.2265978155","4.906391262"
"69","AH_forest_Scaff6478453_2","8","0.144771038","0.579281887625","0.637722316625","5.101778533"
"70","AH_forest_Scaff6481305_1","4","0.0616744349999999","0.59730383325","0.80695702775","3.227828111"
"71","AH_tailings_Scaff004664_1","8","0.506413922","0.407732605875","72.97745524325","583.819641946"
"72","AH_tailings_Scaff006746_2","1","0","0.405146093","40.47210512","40.47210512"
"73","AH_tailings_Scaff007788_1","5","0.565014464","0.4074191046","31.0197595356","155.098797678"
"74","AH_tailings_Scaff015923_1","1","0","0.405146093","4.673360048","4.673360048"
"75","AH_tailings_Scaff026273_1","2","0.029746615","0.3902727855","14.759029735","29.51805947"
"76","AH_tailings_Scaff027642_1","1","0","0.405146093","2.178630451","2.178630451"
"77","AH_tailings_Scaff030483_2","2","0.141760791","0.3342656975","33.2029156235","66.405831247"
"78","AH_tailings_Scaff036044_1","2","0.076118144","0.367087021","45.405531546","90.811063092"
"79","AH_tailings_Scaff039252_1","9","0.726297747","0.440594470777778","96.3156571881111","866.840914693"
"80","AH_tailings_Scaff039279_4","2","0.141760791","0.3342656975","11.670070583","23.340141166"
"81","AH_tailings_Scaff047656_3","1","0","0.405146093","7.705287426","7.705287426"
"82","AH_tailings_Scaff109383_1","1","0","0.405146093","19.87982311","19.87982311"
"83","AH_tailings_Scaff175422_1","1","0","0.405146093","4.572787133","4.572787133"
"84","FJ_farmland_Scaff0023349_1","8","0.560385486","0.483034204875","0.571593148625","4.572745189"
"85","FJ_farmland_Scaff0036406_1","4","0.196306822","0.59856309725","1.1475906015","4.590362406"
"86","FJ_farmland_Scaff0176145_1","15","0.383293389","0.542591296333333","1.27030475326667","19.054571299"
"87","FJ_farmland_Scaff0186528_2","6","0.413223027","0.519682201833333","0.5961919995","3.577151997"
"88","FJ_farmland_Scaff0213586_1","5","0.113044815","0.570475872","1.4685638976","7.342819488"
"89","FJ_farmland_Scaff0268267_2","10","0.196306822","0.5900834293","1.0440055466","10.440055466"
"90","FJ_farmland_Scaff0273985_1","17","0.35952114","0.568173992058824","1.89931353788235","32.288330144"
"91","FJ_farmland_Scaff0298318_1","6","0.214434342","0.5977234255","0.835291636","5.011749816"
"92","FJ_farmland_Scaff0427123_1","11","0.323159895","0.582344575818182","1.33071516381818","14.637866802"
"93","FJ_farmland_Scaff0476224_2","15","0.473953463","0.647955283","0.6021600892","9.032401338"
"94","FJ_farmland_Scaff0760921_1","23","0.329448366","0.512739180869565","0.411432692956522","9.462951938"
"95","FJ_farmland_Scaff0833199_1","7","0.227789467","0.586857642","0.793347852428571","5.553434967"
"96","FJ_farmland_Scaff0968036_1","6","0.322167764","0.572931105666667","0.466603747833333","2.799622487"
"97","FJ_farmland_Scaff1005179_1","7","0.086566799","0.571263702571429","0.897243106285714","6.280701744"
"98","FJ_farmland_Scaff1062303_1","13","0.301465105","0.632767922769231","0.689711206384615","8.966245683"
"99","FJ_farmland_Scaff1174298_3","60","0.516522563","0.524455852016667","0.904773001233333","54.286380074"
"100","FJ_farmland_Scaff1564948_22","2","0.109740023","0.6674833475","5.299075788","10.598151576"
"101","FJ_farmland_Scaff1580257_1","9","0.225478921","0.488053180777778","0.585671207777778","5.27104087"
"102","FJ_farmland_Scaff1663671_1","1","0","0.612613336","2.208968312","2.208968312"
"103","FJ_farmland_Scaff1884118_1","9","0.281558042","0.646333940111111","0.655150992444444","5.896358932"
"104","FJ_farmland_Scaff2052193_1","19","0.391998054","0.497632628105263","0.402350426684211","7.644658107"
"105","FJ_farmland_Scaff2124207_1","12","0.26391804","0.5981440435","0.6337747445","7.605296934"
"106","FJ_farmland_Scaff2197735_1","1","0","0.722353359","3.498145427","3.498145427"
"107","FJ_farmland_Scaff2866822_1","15","0.466291696","0.440084252133333","1.86313227566667","27.946984135"
"108","FJ_farmland_Scaff2967132_1","9","0.118049444","0.558665751777778","1.13759959911111","10.238396392"
"109","FJ_farmland_Scaff3017990_4","21","0.329448366","0.492706116095238","0.629531228","13.220155788"
"110","FJ_farmland_Scaff3134412_1","5","0.196306822","0.6224823932","1.1686723466","5.843361733"
"111","FJ_farmland_Scaff3145707_2","3","0.0563992649999999","0.547243832","2.23844223666667","6.71532671"
